sampleid	LibraryName	SampleName	Subject_ID
SRR13191583	S.170822.00394	S.170822.00394_7	CDM_524
SRR13191582	S.170822.00395	S.170822.00395_305	CDM_525
SRR13191581	S.170823.00005	S.170823.00005_242	CDM_563
SRR13191613	geneblock1	geneblock1_577	Control
SRR13191604	geneblock2	geneblock2_655	Control
SRR13191593	geneblock3	geneblock3_506	Control
SRR13191738	DNAfreewater5	DNAfreewater5_660	Control
SRR13191695	DNAfreewater9	DNAfreewater9_649	Control
SRR13191684	Extractblankswab1	Extractblankswab1_129	Control
SRR13191669	Extractblankswab6	Extractblankswab6_643	Control
SRR13191658	Extractblankswab7	Extractblankswab7_606	Control
SRR13191722	S.170804.00658	S.170804.00658_513	CDM_7
SRR13191711	S.170804.00660	S.170804.00660_527	CDM_8
SRR13191742	S.170804.00718	S.170804.00718_327	CDM_40
SRR13191741	S.170804.00720	S.170804.00720_594	CDM_41
SRR13191740	S.170804.00722	S.170804.00722_367	CDM_42
SRR13191739	S.170804.00723	S.170804.00723_56	CDM_43
SRR13191737	S.170804.00725	S.170804.00725_520	CDM_44
SRR13191736	S.170804.00726	S.170804.00726_206	CDM_45
SRR13191735	S.170804.00727	S.170804.00727_328	CDM_46
SRR13191734	S.170804.00729	S.170804.00729_443	CDM_47
SRR13191733	S.170804.00731	S.170804.00731_215	CDM_48
SRR13191732	S.170804.00733	S.170804.00733_240	CDM_49
SRR13191731	S.170804.00734	S.170804.00734_30	CDM_50
SRR13191730	S.170804.00735	S.170804.00735_268	CDM_51
SRR13191729	S.170804.00737	S.170804.00737_430	CDM_52
SRR13191728	S.170804.00739	S.170804.00739_374	CDM_53
SRR13191703	S.170804.00783	S.170804.00783_87	CDM_76
SRR13191702	S.170804.00784	S.170804.00784_662	CDM_77
SRR13191701	S.170804.00786	S.170804.00786_411	CDM_78
SRR13191700	S.170804.00788	S.170804.00788_95	CDM_79
SRR13191699	S.170804.00791	S.170804.00791_80	CDM_81
SRR13191698	S.170804.00793	S.170804.00793_564	CDM_82
SRR13191697	S.170804.00795	S.170804.00795_437	CDM_83
SRR13191696	S.170804.00797	S.170804.00797_71	CDM_84
SRR13191694	S.170804.00799	S.170804.00799_599	CDM_85
SRR13191693	S.170804.00801	S.170804.00801_25	CDM_86
SRR13191692	S.170804.00803	S.170804.00803_124	CDM_87
SRR13191691	S.170804.00805	S.170804.00805_591	CDM_88
SRR13191690	S.170804.00807	S.170804.00807_524	CDM_71
SRR13191689	S.170804.00809	S.170804.00809_307	CDM_89
SRR13191688	S.170804.00811	S.170804.00811_232	CDM_90
SRR13191687	S.170804.00814	S.170804.00814_207	CDM_92
SRR13191686	S.170804.00816	S.170804.00816_555	CDM_93
SRR13191685	S.170804.00818	S.170804.00818_235	CDM_94
SRR13191683	S.170804.00820	S.170804.00820_369	CDM_95
SRR13191682	S.170804.00821	S.170804.00821_441	CDM_96
SRR13191681	S.170804.00825	S.170804.00825_118	CDM_98
SRR13191680	S.170804.00827	S.170804.00827_269	CDM_99
SRR13191747	S.170808.00107	S.170808.00107_259	CDM_158
SRR13191746	S.170808.00109	S.170808.00109_361	CDM_159
SRR13191745	S.170808.00110	S.170808.00110_389	CDM_160
SRR13191744	S.170808.00112	S.170808.00112_156	CDM_132
SRR13191743	S.170808.00114	S.170808.00114_347	CDM_116
